domain,table,entity,column,sql_type,kotlin_type,nullable,key,enum_values,relationship,notes
cas3,departures,Cas3DepartureEntity,id,uuid,UUID,no,PK,,,
cas3,departures,Cas3DepartureEntity,date_time,timestamptz,OffsetDateTime,no,,,,
cas3,departures,Cas3DepartureEntity,departure_reason_id,uuid,UUID,no,FK,,ManyToOne -> departure_reasons,
cas3,departures,Cas3DepartureEntity,move_on_category_id,uuid,UUID,no,FK,,ManyToOne -> move_on_categories,
cas3,departures,Cas3DepartureEntity,destination_provider_id,uuid,UUID?,yes,FK,,ManyToOne -> destination_providers,
cas3,departures,Cas3DepartureEntity,notes,text,String?,yes,,,,
cas3,departures,Cas3DepartureEntity,created_at,timestamptz,OffsetDateTime,no,,,,audit timestamp
cas3,departures,Cas3DepartureEntity,booking_id,uuid,UUID,no,FK,,ManyToOne -> bookings,
cas3,bookings,Cas3BookingEntity,id,uuid,UUID,no,PK,,,
cas3,bookings,Cas3BookingEntity,crn,text,String,no,,,,
cas3,bookings,Cas3BookingEntity,arrival_date,date,LocalDate,no,,,,
cas3,bookings,Cas3BookingEntity,departure_date,date,LocalDate,no,,,,
cas3,bookings,Cas3BookingEntity,service,text,String,no,,,,
cas3,bookings,Cas3BookingEntity,original_arrival_date,date,LocalDate,no,,,,
cas3,bookings,Cas3BookingEntity,original_departure_date,date,LocalDate,no,,,,
cas3,bookings,Cas3BookingEntity,created_at,timestamptz,OffsetDateTime,no,,,,audit timestamp
cas3,bookings,Cas3BookingEntity,noms_number,text,String?,yes,,,,
cas3,bookings,Cas3BookingEntity,status,text,Cas3BookingStatus?,yes,,Cas3BookingStatus,,
cas3,bookings,Cas3BookingEntity,version,bigint,Long,no,,,,@Version optimistic lock
cas3,bookings,Cas3BookingEntity,offender_name,text,String?,yes,,,,
cas3,bookings,Cas3BookingEntity,premises_id,uuid,UUID,no,FK,,ManyToOne -> cas3_premises,
cas3,bookings,Cas3BookingEntity,bed_id,uuid,UUID,no,FK,,ManyToOne -> cas3_bedspaces,
cas3,bookings,Cas3BookingEntity,application_id,uuid,UUID?,yes,FK,,OneToOne -> applications,
cas3,non_arrivals,Cas3NonArrivalEntity,id,uuid,UUID,no,PK,,,
cas3,non_arrivals,Cas3NonArrivalEntity,date,date,LocalDate,no,,,,
cas3,non_arrivals,Cas3NonArrivalEntity,non_arrival_reason_id,uuid,UUID,no,FK,,ManyToOne -> non_arrival_reasons,
cas3,non_arrivals,Cas3NonArrivalEntity,notes,text,String?,yes,,,,
cas3,non_arrivals,Cas3NonArrivalEntity,created_at,timestamptz,OffsetDateTime,no,,,,audit timestamp
