domain,table,entity,column,sql_type,kotlin_type,nullable,key,enum_values,relationship,notes
shared,booking_not_mades,BookingNotMadeEntity,id,uuid,UUID,no,PK,,,
shared,booking_not_mades,BookingNotMadeEntity,placement_request_id,uuid,UUID,no,FK,,ManyToOne -> placement_requests,
shared,booking_not_mades,BookingNotMadeEntity,created_at,timestamp,OffsetDateTime,no,,,,migration uses timestamp (no time zone); entity is OffsetDateTime
shared,booking_not_mades,BookingNotMadeEntity,notes,text,String?,yes,,,,
shared,postcode_districts,PostCodeDistrictEntity,id,uuid,UUID,no,PK,,,
shared,postcode_districts,PostCodeDistrictEntity,outcode,text,String,no,,,,
shared,postcode_districts,PostCodeDistrictEntity,latitude,numeric,Double,no,,,,
shared,postcode_districts,PostCodeDistrictEntity,longitude,numeric,Double,no,,,,
shared,postcode_districts,PostCodeDistrictEntity,point,geometry,Point,no,,,,PostGIS geometry
shared,departure_reasons,DepartureReasonEntity,id,uuid,UUID,no,PK,,,
shared,departure_reasons,DepartureReasonEntity,name,text,String,no,,,,
shared,departure_reasons,DepartureReasonEntity,is_active,boolean,Boolean,no,,,,
shared,departure_reasons,DepartureReasonEntity,service_scope,text,String,no,,,,
shared,departure_reasons,DepartureReasonEntity,legacy_delius_reason_code,text,String?,yes,,,,
shared,departure_reasons,DepartureReasonEntity,parent_reason_id,uuid,UUID?,yes,FK,,ManyToOne -> departure_reasons,FetchType.LAZY self-reference
shared,offender_management_units,OffenderManagementUnitEntity,id,uuid,UUID,no,PK,,,
shared,offender_management_units,OffenderManagementUnitEntity,prison_code,text,String,no,,,,
shared,offender_management_units,OffenderManagementUnitEntity,prison_name,text,String,no,,,,
shared,offender_management_units,OffenderManagementUnitEntity,email,text,String,no,,,,
shared,departures,DepartureEntity,id,uuid,UUID,no,PK,,,@Deprecated
shared,departures,DepartureEntity,date_time,timestamptz,OffsetDateTime,no,,,,@Deprecated
shared,departures,DepartureEntity,departure_reason_id,uuid,UUID,no,FK,,ManyToOne -> departure_reasons,@Deprecated
shared,departures,DepartureEntity,move_on_category_id,uuid,UUID,no,FK,,ManyToOne -> move_on_categories,@Deprecated
shared,departures,DepartureEntity,destination_provider_id,uuid,UUID?,yes,FK,,ManyToOne -> destination_providers,@Deprecated
shared,departures,DepartureEntity,notes,text,String?,yes,,,,@Deprecated
shared,departures,DepartureEntity,created_at,timestamptz,OffsetDateTime,no,,,,@Deprecated
shared,departures,DepartureEntity,booking_id,uuid,UUID,no,FK,,ManyToOne -> bookings,@Deprecated
shared,non_arrivals,NonArrivalEntity,id,uuid,UUID,no,PK,,,@Deprecated
shared,non_arrivals,NonArrivalEntity,date,date,LocalDate,no,,,,@Deprecated
shared,non_arrivals,NonArrivalEntity,non_arrival_reason_id,uuid,UUID,no,FK,,ManyToOne -> non_arrival_reasons,@Deprecated
shared,non_arrivals,NonArrivalEntity,notes,text,String?,yes,,,,@Deprecated
shared,non_arrivals,NonArrivalEntity,created_at,timestamptz,OffsetDateTime,no,,,,@Deprecated
shared,non_arrivals,NonArrivalEntity,booking_id,uuid,UUID,no,FK,,OneToOne -> bookings,@Deprecated
shared,placement_requirements,PlacementRequirementsEntity,id,uuid,UUID,no,PK,,,
shared,placement_requirements,PlacementRequirementsEntity,gender,text,String?,yes,,,,DB column exists but is not mapped in PlacementRequirementsEntity
shared,placement_requirements,PlacementRequirementsEntity,ap_type,text,JpaApType,no,,NORMAL|PIPE|ESAP|RFAP|MHAP_ST_JOSEPHS|MHAP_ELLIOT_HOUSE,,
shared,placement_requirements,PlacementRequirementsEntity,postcode_district_id,uuid,UUID,no,FK,,ManyToOne -> postcode_districts,
shared,placement_requirements,PlacementRequirementsEntity,radius,integer,Int,no,,,,
shared,placement_requirements,PlacementRequirementsEntity,application_id,uuid,UUID,no,FK,,ManyToOne -> approved_premises_applications,FetchType.LAZY
shared,placement_requirements,PlacementRequirementsEntity,assessment_id,uuid,UUID,no,FK,,ManyToOne -> approved_premises_assessments,FetchType.LAZY
shared,placement_requirements,PlacementRequirementsEntity,created_at,timestamptz,OffsetDateTime,no,,,,
shared,placement_requirements_essential_criteria,PlacementRequirementsEntity,placement_requirement_id,uuid,UUID,no,"PK,FK",,ManyToMany join table (essentialCriteria) -> placement_requirements,@JoinTable on PlacementRequirementsEntity.essentialCriteria
shared,placement_requirements_essential_criteria,PlacementRequirementsEntity,characteristic_id,uuid,UUID,no,"PK,FK",,ManyToMany join table (essentialCriteria) -> characteristics,
shared,placement_requirements_desirable_criteria,PlacementRequirementsEntity,placement_requirement_id,uuid,UUID,no,"PK,FK",,ManyToMany join table (desirableCriteria) -> placement_requirements,@JoinTable on PlacementRequirementsEntity.desirableCriteria
shared,placement_requirements_desirable_criteria,PlacementRequirementsEntity,characteristic_id,uuid,UUID,no,"PK,FK",,ManyToMany join table (desirableCriteria) -> characteristics,
shared,users,UserEntity,id,uuid,UUID,no,PK,,,
shared,users,UserEntity,name,text,String,no,,,,
shared,users,UserEntity,delius_username,text,String,no,,,,
shared,users,UserEntity,delius_staff_code,text,String,no,,,,
shared,users,UserEntity,email,text,String?,yes,,,,
shared,users,UserEntity,telephone_number,text,String?,yes,,,,
shared,users,UserEntity,is_active,boolean,Boolean,no,,,,
shared,users,UserEntity,probation_region_id,uuid,UUID,no,FK,,ManyToOne -> probation_regions,FetchType.LAZY
shared,users,UserEntity,probation_delivery_unit_id,uuid,UUID?,yes,FK,,ManyToOne -> probation_delivery_units,
shared,users,UserEntity,ap_area_id,uuid,UUID?,yes,FK,,ManyToOne -> ap_areas,FetchType.LAZY
shared,users,UserEntity,cas1_cru_management_area_id,uuid,UUID?,yes,FK,,ManyToOne -> cas1_cru_management_areas,FetchType.LAZY
shared,users,UserEntity,cas1_cru_management_area_override_id,uuid,UUID?,yes,FK,,ManyToOne -> cas1_cru_management_areas,FetchType.LAZY
shared,users,UserEntity,team_codes,text,List<String>?,yes,,,,StringListConverter
shared,users,UserEntity,created_at,timestamp,OffsetDateTime?,yes,,,,migration uses timestamp (no time zone); entity is OffsetDateTime
