name,addressLine1,addressLine2,town,postcode,latitude,longitude,notes,emailAddress,probationRegion,localAuthorityArea,characteristics,isIAP,isPIPE,isESAP,isSemiSpecialistMentalHealth,isRecoveryFocussed,isSuitableForVulnerable,acceptsSexOffenders,acceptsChildSexOffenders,acceptsNonSexualChildOffenders,acceptsHateCrimeOffenders,isCatered,hasWideStepFreeAccess,hasWideAccessToCommunalAreas,hasStepFreeAccessToCommunalAreas,hasWheelChairAccessibleBathrooms,hasLift,hasTactileFlooring,hasBrailleSignage,hasHearingLoop,status,apCode,qCode,gender,supportsSpaceBookings,managerDetails,fullAddress,isMHAPElliottHouse,isMHAPStJosephs,cruManagementAreaName
LON Men Premise 1,454 Nader Port,,Quitzonview,OX26 2EQ,51.904735,-1.1635,No,cas1dev+premises@justice.gov.uk,London,Hackney,,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,active,LONMEN1,Q714,MAN,YES,Manager for LON Men Premise 1,"454 Nader Port, Quitzonview",NO,NO,London
LON Men Premise 2,7525 Alba Trail,,Theronborough,WA6 9BQ,53.266459,-2.768905,,cas1dev+premises@justice.gov.uk,London,Westminster,,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,active,LONMEN2,Q703,MAN,YES,Manager for LON Men Premise 2,7525 Alba Trail,NO,NO,London
MIDS Men Premise 1,8527 Bell Rapids,,South Myah,ML8 5EP,55.751711,-3.851103,restrictions on offences against sex workers due to location of the AP,cas1dev+premises@justice.gov.uk,East Midlands,Leicester,,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,active,MIDSMEN1,Q701,MAN,YES,Manager for MIDS Men Premise 1,"8527 Bell Rapids, South Myah",NO,NO,Midlands
MIDS Men MHAP Elliot House,306 Destinee Union,,South Devinberg,KA4 8JG,55.599949,-4.376498,,cas1dev+premises@justice.gov.uk,West Midlands,Birmingham,,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,active,MIDSMEN2,Q702,MAN,YES,Manager for MIDS Men Premise 2,"306 Destinee Union, South Devinberg",YES,NO,Midlands
NE Men Premise 1,4023 Green Wells,,Port Carleton,N14 6QW,51.631685,-0.125257,"As an independent AP, cannot take Arsonists who post an imminent risk of further Arson. This is a local decision, I confirmed that there was no insurance issues regarding Arson. The manager just said if there was an Arsonist whose risk was seen as imminent, she would have to check with the Charity who funds the AP",cas1dev+premises@justice.gov.uk,North East,Newcastle upon Tyne,,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,active,NEMEN1,Q705,MAN,YES,Manager for NE Manager for Men Premise 1,"4023 Green Wells, Port Carleton",NO,NO,North East
NE Men Premise 2,42716 Dickens Route,,Bayerstead,WA11 8GJ,53.50205,-2.790471,,cas1dev+premises@justice.gov.uk,North East,Sunderland,,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,active,NEMEN2,Q706,MAN,YES,Manager for NE Men Premise 2,"42716 Dickens Route, Bayerstead",NO,NO,North East
NE Men Premise 3,704 Eleazar Rue,,Bergstromfort,SK11 6TG,53.254466,-2.124048,,cas1dev+premises@justice.gov.uk,North East,Sunderland,,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,active,NEMEN3,Q707,MAN,YES,Manager for NE Men Premise 3,"704 Eleazar Rue, Bergstromfort",NO,NO,North East
NE Women Premise 1,069 Braun Flat,,Roobbury,SO15 8PN,50.913966,-1.442888,,cas1dev+premises@justice.gov.uk,North East,Newcastle upon Tyne,,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,YES,YES,active,NEWOMEN1,Q708,WOMAN,YES,Manager for NE Women Premise 1,"069 Braun Flat, Roobbury",NO,NO,Women's AP's
NW Men Premise 1,14063 Edyth Court,,North Hallie,LN13 9AT,53.254737,0.180603,No,cas1dev+premises@justice.gov.uk,North West,Lancaster,,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,active,NWMEN1,Q709,MAN,YES,Manager for NW Men Premise 1,"14063 Edyth Court, North Hallie",NO,NO,North West
NW Men MHAP St Josephs,9317 Bauch Heights,,Mavisworth,TN33 9JN,50.886096,0.424608,No Child RSO's since 2006 - National instruction.,cas1dev+premises@justice.gov.uk,North West,Carlisle,,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,active,NWMEN2,Q710,MAN,YES,Manager for NW Men Premise 2,"9317 Bauch Heights, Mavisworth",NO,YES,North West
