Property reference,Address Line 1,Address Line 2 (optional),City/Town,Postcode,Region,Local authority / Borough,Probation delivery unit (PDU),Ground floor level access,Men only,Women only,Not suitable for those with an arson history,Park nearby,Pub nearby,School nearby,Wheelchair accessible,Not suitable for those who pose a sexual risk to adults,Not suitable for those who pose a sexual risk to children,Single occupancy,Shared property,Shared entrance,Lift available,Sensitive let,Close proximity,Rural/out of town ,Other – please state in notes,Optional notes,Email Address
Something House,Address 1,,,LA9 1DS,North West,Barrow-in-Furness,Cumbria,,,,,,,,,,,,,,,,,,,,
Something Court,Address 2,,,EC1 3XZ,South West,Devon,Devon and Torbay,,,,,,,,,,,,,,,,,,,,
Something Place,Address 3,,,SA1 1AF,Wales,Swansea,"Swansea, Neath Port Talbot",,,,,,,,,,,,,,,,,,,,
Fourth Avenue,Address 4,,,"FY1 7VG
",North West,Blackpool,"North West Lancashire (Blackpool and lower tier LAs in Lancashire - Fylde, Wyre and Lancaster)",,,,,,,,,,,,,,,,,,,,
BISHOP1,1 Bishop St,,,CT22 4BH,"Kent, Surrey & Sussex",Canterbury,"East Kent (Swale, Ashford, Canterbury, Folkestone and Hythe, Thanet and Dover)",,,,,,,,,,,,,,,,,,,,
BISHOP2,2 Bishop St,,,CT22 4BH,"Kent, Surrey & Sussex",Canterbury,"East Kent (Swale, Ashford, Canterbury, Folkestone and Hythe, Thanet and Dover)",,,,,,,,,,,,,,,,,,,,
BISHOP3,3 Bishop St,,,CT22 4BH,"Kent, Surrey & Sussex",Canterbury,"East Kent (Swale, Ashford, Canterbury, Folkestone and Hythe, Thanet and Dover)",,,,,,,,,,,,,,,,,,,,
PAVILION11,11 Pavilion Rise,,,SS18 3PK,East of England,Southend-on-Sea,"Essex South (Basildon, Brentwood, Rochford and Castlepoint, Southend-on-Sea)",,,,,,,,,,,,,,,,,,,,
PAVILION12,12 Pavilion Rise,,,SS18 3PK,East of England,Southend-on-Sea,"Essex South (Basildon, Brentwood, Rochford and Castlepoint, Southend-on-Sea)",,,,,,,,,,,,,,,,,,,,
PAVILION13,13 Pavilion Rise,,,SS18 3PK,East of England,Southend-on-Sea,"Essex South (Basildon, Brentwood, Rochford and Castlepoint, Southend-on-Sea)",,,,,,,,,,,,,,,,,,,,
