name,addressLine1,addressLine2,town,postcode,latitude,longitude,notes,emailAddress,probationRegion,localAuthorityArea,characteristics,isIAP,isPIPE,isESAP,isSemiSpecialistMentalHealth,isRecoveryFocussed,isSuitableForVulnerable,acceptsSexOffenders,acceptsChildSexOffenders,acceptsNonSexualChildOffenders,acceptsHateCrimeOffenders,isCatered,hasWideStepFreeAccess,hasWideAccessToCommunalAreas,hasStepFreeAccessToCommunalAreas,hasWheelChairAccessibleBathrooms,hasLift,hasTactileFlooring,hasBrailleSignage,hasHearingLoop,status,apCode,qCode,gender,supportsSpaceBookings,managerDetails
LON Men Premise 1,454 Nader Port,,Quitzonview,OX26 2EQ,51.904735,-1.1635,No,some@emailaddress.com,London,Hackney,,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,active,LONMEN1,Q714,MAN,NO,Manager for LON Men Premise 1
LON Men Premise 2,7525 Alba Trail,,Theronborough,WA6 9BQ,53.266459,-2.768905,,some@emailaddress.com,London,Westminster,,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,active,LONMEN2,Q703,MAN,NO,Manager for LON Men Premise 2
MIDS Men Premise 1,8527 Bell Rapids,,South Myah,ML8 5EP,55.751711,-3.851103,restrictions on offences against sex workers due to location of the AP,some@emailaddress.com,East Midlands,Leicester,,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,active,MIDSMEN1,Q701,MAN,NO,Manager for MIDS Men Premise 1
MIDS Men Premise 2,306 Destinee Union,,South Devinberg,KA4 8JG,55.599949,-4.376498,,some@emailaddress.com,West Midlands,Birmingham,,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,active,MIDSMEN2,Q702,MAN,NO,Manager for MIDS Men Premise 2
NE Men Premise 1,4023 Green Wells,,Port Carleton,N14 6QW,51.631685,-0.125257,"As an independent AP, cannot take Arsonists who post an imminent risk of further Arson. This is a local decision, I confirmed that there was no insurance issues regarding Arson. The manager just said if there was an Arsonist whose risk was seen as imminent, she would have to check with the Charity who funds the AP",some@emailaddress.com,North East,Newcastle upon Tyne,,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,active,NEMEN1,Q705,MAN,NO,Manager for NE Manager for Men Premise 1
NE Men Premise 2,42716 Dickens Route,,Bayerstead,WA11 8GJ,53.50205,-2.790471,,some@emailaddress.com,North East,Sunderland,,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,active,NEMEN2,Q706,MAN,NO,Manager for NE Men Premise 2
NE Men Premise 3,704 Eleazar Rue,,Bergstromfort,SK11 6TG,53.254466,-2.124048,,some@emailaddress.com,North East,Sunderland,,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,active,NEMEN3,Q707,MAN,NO,Manager for NE Men Premise 3
NE Women Premise 1,069 Braun Flat,,Roobbury,SO15 8PN,50.913966,-1.442888,,some@emailaddress.com,North East,Newcastle upon Tyne,,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,YES,YES,active,NEWOMEN1,Q708,WOMAN,NO,Manager for NE Women Premise 1
NW Men Premise 1,14063 Edyth Court,,North Hallie,LN13 9AT,53.254737,0.180603,No,some@emailaddress.com,North West,Lancaster,,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,active,NWMEN1,Q709,MAN,NO,Manager for NW Men Premise 1
NW Men Premise 2,9317 Bauch Heights,,Mavisworth,TN33 9JN,50.886096,0.424608,No Child RSO's since 2006 - National instruction.,some@emailaddress.com,North West,Carlisle,,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,active,NWMEN2,Q710,MAN,NO,Manager for NW Men Premise 2
SEE Men Premise 1,5510 Emmitt Street,,North Gregoryboro,SA13 1NN,51.593159,-3.781082,Rooms 9 to 16 are currently out of use - annexe that contains them is subsiding and is non accessible - for last 6 months or so.,some@emailaddress.com,East of England,Norwich,,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,active,SEEMEN1,Q711,MAN,NO,Manager for SEE Men Premise 1
