apCode,bedCode,roomNumber,bedCount,isSingle,isGroundFloor,isFullyFm,hasCrib7Bedding,hasSmokeDetector,isTopFloorVulnerable,isGroundFloorNrOffice,hasNearbySprinkler,isArsonSuitable,isArsonDesignated,hasArsonInsuranceConditions,isSuitedForSexOffenders,hasEnSuite,isWheelchairAccessible,hasWideDoor,hasStepFreeAccess,hasFixedMobilityAids,hasTurningSpace,hasCallForAssistance,isWheelchairDesignated,isStepFreeDesignated,notes
"TEST1","TEST101","1",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST1","TEST102","2",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST1","TEST103","3",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST1","TEST104","4",2,"NO","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST1","TEST105","4",2,"NO","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST1","TEST106","5",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST1","TEST107","6",2,"NO","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST1","TEST108","6",2,"NO","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST1","TEST109","7",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST1","TEST110","8",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST1","TEST111","9",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST1","TEST112","11",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST1","TEST113","12",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST1","TEST114","13",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST1","TEST115","14",1,"YES","YES","YES","YES","YES","NO","YES","YES","YES","NO","NO","YES","YES","NO","YES","YES","YES","NO","NO","NO","NO",""
"TEST1","TEST116","15",2,"NO","YES","YES","YES","YES","NO","YES","YES","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO",""
"TEST1","TEST117","15",2,"NO","YES","YES","YES","YES","NO","YES","YES","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO",""
"TEST1","TEST118","16",2,"NO","YES","YES","YES","YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO",""
"TEST1","TEST119","16",2,"NO","YES","YES","YES","YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO",""
"TEST1","TEST120","17",2,"NO","YES","YES","YES","YES","NO","YES","YES","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO",""
"TEST1","TEST121","17",2,"NO","YES","YES","YES","YES","NO","YES","YES","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO",""
"TEST1","TEST122","18",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST201","1",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST202","2",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST203","3",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST204","4",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST205","5",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST206","6",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST207","7",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST208","8",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST209","9",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST210","10",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST211","11",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST212","12",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST213","13",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST214","14",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST215","15",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST216","16",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST217","17",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST218","18",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST219","19",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST220","20",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST221","21/22",2,"NO","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST222","21/22",2,"NO","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST223","23",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST224","24",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST2","TEST225","25",1,"YES","YES","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","YES","YES","YES","YES","NO","NO",""
"TEST2","TEST226","26",1,"YES","YES","YES","YES","YES","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO",""
"TEST3","TEST301","1",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST3","TEST302","2",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST3","TEST303","3",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST3","TEST304","4",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST3","TEST305","5",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST3","TEST306","6",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST3","TEST307","7",1,"YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST3","TEST308","8",1,"YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST3","TEST309","9",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST3","TEST310","10",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST3","TEST311","11",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST3","TEST312","12",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST3","TEST313","13",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST3","TEST314","14",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST3","TEST315","15",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST3","TEST316","16",1,"YES","YES","YES","NO","YES","NO","YES","YES","NO","NO","NO","YES","YES","NO","NO","YES","YES","YES","YES","NO","NO",""
"TEST3","TEST317","17",2,"NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","NO",""
"TEST3","TEST318","17",2,"NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","NO",""
"TEST3","TEST319","Annexe F1",1,"YES","YES","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","YES","YES","YES","YES","NO","NO",""
"TEST3","TEST320","Annexe F2",1,"YES","YES","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO",""
"TEST3","TEST321","Annexe F3",1,"YES","YES","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO",""
"TEST3","TEST322","Annexe F4",1,"YES","YES","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO",""
"TEST3","TEST323","Annexe F5",1,"YES","YES","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO",""
"TEST3","TEST324","Annexe F6",1,"YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO",""
"TEST4","TEST401","1",1,"YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST402","2",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST403","3",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST404","4",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST405","5",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST406","6",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST407","7",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST408","8",1,"YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST409","9",1,"YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST410","10",1,"YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST411","11",1,"YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST412","12",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST413","13",1,"YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST414","14",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST415","15",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST416","16",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST417","17",1,"YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST418","18",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST419","19",1,"YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST420","20",1,"YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST421","21",1,"YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST422","22",1,"YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST423","23",1,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST4","TEST424","24",1,"YES","YES","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","YES","YES","YES","YES","YES","NO","YES",""
"TEST4","TEST425","25",1,"YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST501","1",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST502","2",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST503","3",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST504","4",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST505","5",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST506","6",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST507","7",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST508","8",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST509","9",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST510","10",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST511","11",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST512","12",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST513","13",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST514","14",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST515","15",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST516","16",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST517","17",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST518","18",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST519","19",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST520","20",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST5","TEST521","21",1,"YES","YES","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","NO","YES",""
"TEST5","TEST522","22",1,"YES","YES","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","YES","YES","YES","NO","NO","NO","NO","YES",""
"TEST5","TEST523","23",1,"YES","YES","YES","YES","YES","NO","NO","YES","NO","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","NO","YES",""
"TEST6","TEST601","G1",1,"YES","YES","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","YES","YES","YES","YES","YES","NO","YES",""
"TEST6","TEST602","F1",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST603","F2",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST604","F3",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST605","F4",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST606","F5",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST607","F6",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST608","F7",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST609","F8",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST610","F9",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST611","F10",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST612","F11",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST613","F12",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST614","F13",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST615","F14",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST616","F15",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST617","F16",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST618","F17",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST619","S1",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO",""
"TEST6","TEST620","S2",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO",""
"TEST6","TEST621","S3",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST622","S4",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST623","S5",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST624","S6",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST625","S7",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST6","TEST626","S8",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST7","TEST701","1",1,"YES","YES","YES","YES","YES","NO","NO","YES","NO","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO",""
"TEST7","TEST702","2",1,"YES","YES","YES","YES","YES","NO","NO","YES","NO","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO",""
"TEST7","TEST703","3",1,"YES","YES","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO",""
"TEST7","TEST704","4",1,"YES","YES","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO",""
"TEST7","TEST705","5",1,"YES","YES","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO",""
"TEST7","TEST706","6",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST7","TEST707","7",1,"YES","NO","YES","YES","YES","YES","NO","YES","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST7","TEST708","8",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
